product_id,producer_id
362561,194
370950,266
371434,223
408199,324
408201,324
417308,223
423959,324
424079,497
430305,497
431255,497
431824,356
452214,356
453676,497
453691,497
459336,1617
515968,324
530798,497
532216,497
532217,497
535021,497
539250,598
540196,497
540440,497
543500,442
550635,497
556718,642
556720,642
556731,642
556742,642
558605,1617
560857,497
561666,223
561667,223
563698,497
565536,324
565704,642
567434,667
567435,667
567436,667
567437,667
567438,667
567439,667
567440,667
567441,667
567442,667
567443,667
567503,667
570632,324
570845,356
570856,356
570859,356
573201,1617
605671,620
610339,324
612350,667
620268,247
622689,324
623596,147
644264,328
644569,497
645473,247
648758,437
661419,667
661420,667
661421,667
661423,667
661424,667
661426,667
661427,667
661428,667
661429,667
661430,667
661436,667
661437,667
661438,667
661439,667
661440,667
661441,667
661442,667
661443,667
661444,667
661445,667
661446,667
661448,667
661450,667
661452,667
661456,667
661457,224
661461,667
661463,667
661464,667
661465,667
661466,667
661467,667
661468,667
661470,667
661471,667
661472,667
661473,667
661474,667
661475,667
661476,667
661477,667
661478,667
661479,667
661480,667
661481,667
661482,667
661483,667
661488,667
661491,667
661492,667
661493,667
661494,667
661495,667
661496,667
661497,667
661499,667
661500,667
661501,667
661502,667
661503,667
661506,667
661507,667
661508,667
661510,667
661512,667
661513,667
661515,667
661516,667
661518,667
661519,667
661522,667
661525,667
661526,667
661531,667
661533,667
677903,497
698871,667
704555,356
704556,356
708826,147
708827,147
715969,401
715981,401
716993,667
716994,667
726491,667
726493,667
799149,271
804068,594
807891,356
811722,667
820547,271
820548,271
823906,271
823909,271
872456,1273
872622,1273
872623,1273
872624,1273
879608,1276
879610,1276
879615,1276
879621,1276
879625,1276
879629,1276
879631,1276
879633,1276
879634,1276
879635,1276
879638,1276
879640,1276
879641,1276
879645,1276
879649,1276
879708,401
880260,497
880276,497
880277,497
880314,497
880353,271
880354,271
880357,271
880358,271
920131,194
920135,194
920165,452
921156,667
921157,667
921158,667
921159,667
921160,667
921161,667
923082,223
923084,223
933180,206
955101,497
955102,497
1023507,537
1087259,247
1182617,266
1186299,661
1186725,328
1194047,328
1196806,244
1196807,244
1196808,244
1196809,244
1196811,244
1196812,244
1197886,667
1197887,667
1197888,667
1197889,667
1197890,667
1197891,667
1197973,667
1197975,667
1197979,667
1197980,667
1197981,667
1197982,667
1197983,667
1197985,667
1197986,667
1197988,667
1197989,667
1197990,667
1197991,667
1197994,667
1198002,667
1202702,584
1233025,667
1233026,667
1233027,667
1242054,537
1242055,537
1242056,537
1242057,537
1256570,328
1262026,497
1262027,497
1286324,405
1300726,356
1315271,168
1315327,168
1363735,667
1363736,667
1363740,667
1363741,667
1363742,667
1363743,667
1363745,667
1393178,1411
1394191,584
1394192,584
1394195,370
1394201,370
1394753,194
1394915,335
1398931,667
1399375,405
1399577,547
1399596,667
1399597,667
1401236,1266
1401237,1266
1401238,1266
1401239,1266
1401246,1266
1401248,1266
1401249,1266
1401251,1266
1404777,1420
1404780,1420
1404783,1420
1404784,1420
1404785,1420
1404786,1420
1404787,1420
1404789,1420
1404794,1420
1404795,1420
1404798,1420
1404800,1420
1404801,1420
1404802,1420
1404803,1420
1417172,667
1417173,667
1417174,667
1417175,667
1417176,667
